#	Fracture
2HPP	2 Hour PostPrandial
DCHD	Dallas County Hospital District
DCHF	Doernbecher Children's Hospital Foundation
DCHF	DeWitt Community Hospital Foundation
DCHS	Delnor Community Health System
DCHT	Dhaka Community Hospital Trust
DCI	Daily Calorie Intake
DCM	Diabetic CardioMyopathy
DCMH	Door County Memorial Hospital
DCMH	Deschutes County Mental Health
DCMH	Delta County Memorial Hospital
DCMH	Delaware County Memorial Hospital
DCMH	Deuel County Memorial Hospital
DCMH	Decatur County Memorial Hospital
DCMH	Douglas County Memorial Hospital
DCMR	Drug Cost Management Report
DCMS	Duval County Medical Society
DCOA	Diabetes Centers Of America, Inc.
DCP	Diabetes Care Profile
DCP	Dynamic Compression Plate
DCPC	Division of Cancer Prevention and Control
DCPG	Draft Clinical Practice Guidelines
DCR	Damage Control Resuscitation
DCR	Detailed Care Record
DCR	Dacryocystorhinostomy
DCS	Dorsal Column Stimulation
DCT	Direct Coombs' Test
DD	Discharge Diagnosis
DD	Developmental disability
DD	Developmentally disabled
DDAVP	Desmopressin acetate
DDCH	Dhaka Dental College and Hospital
DDCH	Dhaka Dental College Hospital
DDD	Daily Defined Dose
DDH	Davao Doctors Hospital
DDI	Drug-Drug Interaction
DDP	Distance Diagnostic Project
DDPRQ	Difficult Doctor Patient Relationship Questionnaire
DDS	Drug Delivery System
DE	Dental Emergency
DEC	Diagnostic Evaluation Center
DEE	Dental Emergency Encounter
DEF	Deaf
DES	Dental Environmental Stress
DESP	Diabetic Eye Screening Programme
DF	Dengue fever
DFC	Diet & Fitness Center
DFN	Departure From Normal
DH	Department of Health
DH	Drug History
DH	Developmentally handicapped
DHC	Deployment Health Clinics
DHCC	Dubai Healthcare City
DHCP	Decentralized Hospital Computer Program
DHDC	Doctors Hospital at Deer Creek
DHF	Diastolic Heart Failure
DHF	Dengue hemorrhagic fever
DHH	Department of Health and Hospitals
DHH	Denver Health and Hospitals
DHHS	Department of Health and Human Services
DHLC	Deborah Heart and Lung Center
DHLF	District Hospital Leadership Forum
DHMC	Dartmouth-Hitchcock Medical Center
DHMC	Davis Hospital and Medical Center
DHMO	Dental Health Maintenance Organization
DHPG	Dartmouth-Hitchcock Privacy Group
DHR	Doctors Hospital at Renaissance
DHS	Designated Health Service
DHSP	District Health Services Project
DHTF	Distressed Hospital Trust Fund
DI	Direct Injection
DI	Diabetes insipidus
DIANA	Daily Insulin dose Adjustment to Nutrition & Activities
DIB	Difficulty In Breathing
DIC	Drop In Center
DICE	Diagnoses for Intensive Care Evaluation
DICOM	Digital Imaging and Communications in Medicine
DIFA	Direct ImmunoFluorescence Assay
DiG	DiGeorge syndrome
DIH	Dronning Ingrids Hospital
DIL	Dangerously Ill List
DIME	Delayed, Immediate, Minimal, and Expectant
DIN	Drug Identification Number
DIN	Doctors' Independent Network
DIP	Digital Image Pro
DIPEx	Database of Individual Patient Experiences
DIRP	Diagnostic Imaging Research Programme
DIRT	Desciption, Impression, Response, Treatment
DIS	Daily Interruption of Sedation
DISH	Diffuse idiopathic skeletal hyperostosis
DJD	Degenerative joint disease
DKCH	Duchess of Kent Children Hospital (Hong Kong)
DKH	Day Kimball Hospital
DL	Danger List
DL	Drug List
DLB	Dementia with Lewy bodies
DLF	Dose-Limiting Factor
DM	Delivery Method
DM	Diabetes Mellitus
DMA	Division of Medical Assistance
DMAH	Duncan Manor Animal Hospital
DMAH	Dale Mabry Animal Hospital
DMAIH	Departament de Medi Ambient I Habitatge
DMAO	Directorate of Medical Administration and Operations
DMAPS	Division of Medical Arts and Printing Services
DMAS	Department of Medical Assistance Services
DMAT	Disaster Medical Assistance Team
DMB	DeKalb Medical Building
DMBB	Diagnostic Medical Branch Blocks
DMBP	DeKalb Medical Building Partnership
DMC	Detroit Medical Center
DMC	Downstate Medical Center (NY)
DMCH	Dhaka Medical College and Hospital
DMCH	Dhaka Medical College Hospital
DMCH	Dayanand Medical College and Hospital
DMCH	Darbhanga Medical College and Hospital
DMCH	Darbhanga Medical College Hospital
DMD	Duchenne muscular dystrophy
DMDD	Disruptive mood dysregulation disorder
DMEPOS	Durable Medical Equipment, Prosthetics, Orthotics, and Supplies
DMERC	Durable Medical Equipment Regional Carrier
DMH	Decatur Memorial Hospital
DMH	Desoto Memorial Hospital
DMH	Designing Memorable Hospitality
DMH	Doctors' Memorial Hospital
DMH	Darlington Memorial Hospital
DMHC	Department of Managed Health Care
DMN	Defective Material Notice
DMO	District Medical Officer
DMPH	District Municipal Public Hospital
DMT	Decompression Massage Therapy
DNC	Do Not Change
DNC	Deliterious Nuclear Corpuscle
DNDI	Drugs For Neglected Diseases Initiative
DNE	Dance N Effect
DNET	Dysembryoplastic neuroepithelial tumours
DNH	Do Not Hospitalize
DNI	Do Not Intubate
DNMS	Det Norske Medicinske Selskab
DNP	Doctor of Nursing Practice
DNQ	Directorate of Nursing and Quality
DNR	Do Not Readmit
DNR	Dying Naturally with Respect
DNR	Do Not Resuscitate
DNU	Det Nye Universitetshospital
DOA	Day Of Admission
DOA	Date Of Accident
DOA	Date Of Admission
DOA	Depth Of Anaesthesia
DOA	Dead On Arrival
DOA	Department Of Accounts
DOB	Difficulty Of Breathing
DOB	Date Of Birth
DOC	Doctors Out to Care
DOC	Duty Of Care
DOC	Diabetes, Obesity, and Cardiology
DOCC	Defined Organized Comprehensive Care
DOD	Date Of Diagnosis
DOD	Date Of Death
DODI	Died On Direct Impact
DOH	Detroit Osteopathic Hospital
DONSA	Day Of No Scheduled Activity
DOO	date of operation
DOOM	Denaturing of Out-of-date Medicine
DOOM	Destruction of Out-of-date Medicine
DOP	Date Of Procedure
DOS	Doctors Orders System
DOT	Dead On Table
DOT	Date Of Transfer
DOT	Deliver(y) on Time
DOT	Delivery On Time
DOU	Direct Observation Unit
DOV	Date Of Visit
DP	Director of Performance
DPIS	Dry Powder Inhalers
DPM	Dermal Phase Meter
DPMPC	Department of Pain Medicine and Palliative Care
DPPT	Developing Psychoanalytic Practice and Training
DR	Digital radiography
DRA	Digital Rotational Angiography
DRAB	Danger, Response, Airway, Breathing
DRABC	Danger, Response, Airways, Breathing, Circulation
DRAH	Duke Raleigh Hospital (Raleigh, NC)
DRC	Diagnostic and Research Clinic
DRCC	Durham Regional Cancer Centre
DRE	Diagnosis Related Estimates
DRG	Diagnosis-Related Group
DRGS	Diagnosis-Related Groups System
DRH	Durham Regional Hospital
DRH	Detroit Receiving Hospital
DRHS	Danville Regional Health System
DRHS	Dekalb Regional Healthcare System
DRHS	Desoto Regional Health System
DRIS	Diagnosis and Recommendation Integrated System
DRMC	DuBois Regional Medical Center
DRN	Drain
DRSG	DReSsinG
DRSS	Devon Referral Support Services
DRSS	Diabetic Retinopathy Severity Score
DS	Duodenal Switch
DS	Down syndrome
DSDD	Detailed System Design Document
DSFH	Dr Soliman Fakeeh Hospital
DSH	Disproportionate Share Hospital
DSH	Department of State Hospitals
DSH	Disproportionate Share Hospitals
DSLU	Dermatological Surgery and Laser Unit
DSM	Diagnosis and Statistical Manual
DSR	Detector Status Report
DSR	Daily Symptom Report
DSU	Day Surgery Unit
DT	Date of Treatment
DT	Diversional Therapy
DT	Delerium Tremens
DTA	Decision to Admit
DTC	Direct-To-Patient
DTC	Diagnostic and Treatment Centre
DTP	Direct To Pharmacy
DTR	Dietetic Technician, Registered
DTs	Delirium tremens
DTV	Due To Void
DUB	Dysfunctional uterine bleeding
DUH	Duke University Hospital
DUI	Dualy Utilized Instrument
DUMC	Duke University Medical Center
DUP	Drug Use Profile
DV	Diarrhea and Vomiting
DVD	Developmental verbal dyspraxia
DVH	Dandenong Veterinary Hospital
DVH	Darent Valley Hospital
DVIU	Direct Visual Internal Urethrotomy
DVMT	Deutscher Verband für Manuelle Therapie
DX	Discharged
Dx	Diagnosis
DXR	Digital X-ray Radiogrammetry
DZP	Diazepam
E	Emergency
E&E	Eye and Ear
EAAH	Elizabethtown Area Animal Hospital
EACH	Eastern Access Community Health
EACH	East Anglias Childrens Hospices
EACU	Emergency Acute Care Unit
EAMC	Eisenhower Army Medical Center
EAPC	Expanded Access to Primary Care
EAPG	Enhanced Ambulatory Patient Groupings
EAU	Examination Under Anesthesia
EB	Epidermolysis Bullosa
EBBX	Endobronchial Biopsy
EBC	European Brain Council
EBH	Electronic Bone Enhancement
EBP	Evidence-Based Practice
EBP	Evidence Based Practice
EBUS	Endobronchial Ultrasound
ECA	Ephedra, Caffeine, Aspirin
ECC	Exceptional Cases Committee
ECC	Emergency Care Center
ECC	Evaluation of Clinical Competence
ECCE	ExtraCapsular Cataract Extraction
ECF	Extended Care Facility
ECH	Elizabethtown Community Hospital
ECHO	Energy Conservation Health Opportunity
ECHO	Executive Council of Health Organizations
ECHO	Emergency Call Help Out
ECHO	Economic Clinical And Humanistic Outcomes
ECHO	Experience Of Care And Health Outcomes
ECHO	Emergency Community Health Outreach
ECMO	Extra-Corporeal Membrane Oxygenation
ECOG	Eastern Cooperative Oncology Group
ECP	Early Childhood Program
ECP	Emergency Contraception Pill
ECP	External Counter Pulsation
ECP	Emotionally Challenged Person
ECP	Effective Clinical Practice
ECP	Electronic Claims Processing
ECP	Emergency Care Provider
ECS	ElectroCerebral Silence
ECT	Electro-Convulsive Therapy
ECT	Elementary Cognitive Task
ECV	External Cephalic Version
ECWCFS	Electrostatic Cloth and Wet Cloth Field Study
ED	Examination Documentation
ED	Edged Dilution
ED	Eating Disorder
ED	Emergency Department
ED	Early Discharge
ED	End Diastolic
ED	Erectile Dydfunction
EDB	Estimated Date of Birth
EDC	Emirates Diagnostic Clinic
EDD	Extended Daily Dialysis
EDGH	Eastbourne District General Hospital
EDH	Epidural/ Extradural Hemorrhage Hematoma
EDL	Essential Drugs List
EDMH	Edenhope District Memorial Hospital
EDMH	Edenhope and District Memorial Hospital
EDOU	Emergency department outpatient unit
EDOU	Emergency Department Observation Unit
EDS	Ehlers–Danlos syndrome
EEE	Eastern equine encephalitis
EEG	ElectroEncephaloGram
EENT	Eye, Ears, Nose, and Throat
EES	Erythromycin EthylSuccinate
EF	Ejection Fraction
EFW	Estimated Fetal Weight
EGD	EsophagoGastroDuodenoscopy
EGDS	Esofago-Gastro-Duodeno-Scopia
EGH	Elkhart General Hospital
EGH	Etobicoke General Hospital
EGMR	Endoscopic Gastric Mucosal Resection (diagnostic procedure)
EGPS	Ethics, Grievances, and Professional Standards
EHA	Emmanuel Hospital Association
EHEN	Essential Hospitals Engagement Network
EHMC	Englewood Hospital and Medical Center
EHMC	Englewood Hospital Medical Center
EHQ	European Hospitality Quality
EHR	Electronic Health Record
EHR(S)	Electronic Health Record(S)
EHS	Evangelical Health Systems
EHSTG	Ethiopian Hospital Services Transformation Guidelines
EIA	Enzyme ImmunoAssay
EIA	Exercise-Induced Asthma
EIEIO	Electro-encephalograph In, Electronic Instrument Out modulation
EIH	Emirates International Hospital
EISAC	Extra identified structurally abnormal chromosomes
EKG	ElectrocardioGram
ELCH	East Liverpool City Hospital
ELEC	Elective
ELFT	East London Foundation Trust
ELMC	Exempla Lutheran Medical Center
EMA	Emergency Medical Associates
EMAC	Emergency Medicine Ambulatory Care
eMAR	Electronic Medication Administration Record
EMB	EndoMetrial Biopsy
EMC	Eisenhower Medical Center
EMC	Electronic Medical Claim
EMC	EndoMetrial Curettage
EMC	Expanded Medical Capacity
EMC	Emergency Medical Care
eMC	electronic Medicines Compendium
EMD(s)	Emergency Medical doctor(s)
EMERG	EMERGency
Emerg.	Emergency Department; Emergency Room (Canada) (see ER)
EMH	Educable mentally handicapped
EMI	Electronic Medical Information
EMIRA	Epidemiological and Microbial Risk Assessment
EML	Essential Medicines List
EMMC	Eastern Maine Medical Center
EMP	Examining Medical Practitioner
EMPI	Enterprise Master Patient Index
EMR	Emergency Medical Response
EMR	Educable mentally retarded
EMS	Emergency Medical Services
EMS	Electronic Medical Service
EMS	Expandable Metal Stent
EMS	Emergency Medical Service(s)
EMSH	East Mississippi State Hospital
EMT(s)	Emergency Medical Technician
EN	Enteral Nutrition
EN	Enrolled nurses
ENDT	ElectroNeuro Diagnostic Technology
ENH	Evanston Northwestern Healthcare
ENH	Eastern Niagara Hospital
ENR	Essential Nursing Resources
ENS	Epidermal nevus syndrome
ENT	Ear,Nose and Throat
ENT	Ear, Nose, Throat
EOA	Erosive osteoarthritis
EOBI	Early-Onset Bacterial Infection
EOD	Every Other Day
EOD	Emergency Outpatient Department
EOR	Emergency Operating Room
EP	Exploratory Probe
EPHI	Electronic Protected Health Information
EPHS	Essential Packages of Hospital Services
EPIC	Excellence in Prehospital Injury Care
EPL	Eplerenone
EPM	Extrapontine myelinolysis
EPNN	Eldor Peripheral Nerve Needle
EPOC	Emergency Point Of Care
EPR	Extra Patient Rate
EPS	Emergency Pregnancy Service
EPS	Emergency Psychiatric Services
EPU	Early Pregnancy Unit
EQA	External Quality Assessment
EQUR	Electric Quick Ulcer Remedy
ER	Emergency Room
ERAS	Electronic Residency Application Service
ERCP	Endoscopic Retrograde Cholangiography and Pancreatography
ERCP	Endoscopic Retrograde CholangioPancreatography
ERDH	Escolastica Romero District Hospital
ERG	Evidence Review Group
ERG	ElectroRetinoGram
ERR	Emergency Response Resources
ERT	Emergency Response Team
ERY	Erythromycin
ES	Extended Scrub
ES	Emergency Surgery
ES	Eye Safety
ESAC	Extra Structurally Abnormal Chromosome
ESAC	Emergency Surgery Ambulatory Clinic
ESCAPE	Eliminate Substitute Control And Prevent Exposure
ESCOP	European Scientific Cooperative On Phytotherapy
ESD	Endoscopic Submucosal Dissection
ESD	Early Supported Discharge
ESDIAG	Expert System for Diagnosis
ESH	Eastern State Hospital
ESH	Eleanor Slater Hospital
ESHC	Eastern Shore Hospital Center
ESN	Eldor Spinal Needle
ESRD	End-stage renal disease
ESSH	Eastern State School and Hospital
ESVH	East Springfield Veterinary Hospital
ESVH	Eastern Shore Veterinary Hospital
ESVH	East Stroudsburg Veterinary Hospital
ESWL	Extracorporeal Shock-Wave Lithotripsy
ET	Endotracheal Tube
ETB	Estimated Time of Birth
ETCH	East Tennessee Children's Hospital
ETD	Education and Training Department
ETDRS	Early Treatment Diabetic Retinopathy Study
ETG	ElectroTridoshaGraphy
ETI	Endo-Tracheal Intubation
ETL	Echo Train Length
ETMC	East Texas Medical Center
ETS	Endoscopic Thoracic Surgery
ETT	Exercise Tolerance Test
ETV	Endoscopic third ventriculostomy
EU	Enter Urethra
EUA	Examination Under Anesthesia
EUH	Emory University Hospital
EUPD	Emotionally unable personality disorder
EUPH	European Union of Private Hospitals
EUS	Evaluated Ultrasonic Signal
EUSC	Endoscopic UltraSound Center
EUSI	EUripean Stroke Initiative
EUSN	Endoscopic UltraSound-guided fine Needle aspiration biopsy
EV MPD	EudraVigilance Medicinal Product Database
EVD	External Ventricular Drain
EVLA	EndoVenous Laser Ablation
EWH	Eastern and Western Hospital
EXACT	EXAcerbations of Chronic obstructive pulmonary disease Tool
Exam/Rm	Examination Room
F	Filled
F/U	Follow-Up
F1	Foundation year 1
FA	First Aid
FAAH	Forrest Avenue Animal Hospital
FACC	Fellow of the American Academy of Cardiology
FACT	Forensic Assertive Community Treatment
FAE	Fetal alcohol effects
FAH	Fitzsimmons Army Hospital
FAHN	Fatty acid hydroxylase-associated neurodegeneration
FAIR	Facilitates,Allows,Inhibits,Restricts (occupational participation)
FANA	Family Administered Neonatal Activities
FAS	Fetal alcohol syndrome
FASDs	Fetal alcohol spectrum disorders
FAST	First Access for Shock and Trauma
FAST	Face, Arms, Speech, Time
FATO	First Aid Training Organization
FBCH	Fort Belvoir Community Hospital
FBD	Functional bowel disease
FBI	Fully Broken and Injured
FC	Film Coated
FCEC	Fairfield County Endoscopy Center
FCHC	Falls Community Hospital and Clinic
FCMG	Florida Childrens Medical Group
FCMG	Family Care Medical Group
FCMG	First Care Management Group
FDA	Food and Drug Administration
FDE	Fixed Drug Eruption
FDF	Finished pharmaceutical Dosage Form
FDG	Fluorodeoxyglucose
FEF	Frontal eye fields
FEN	Fluids, Electrolytes, & Nutrition
FESC	Frontier Extended Stay Clinics
FETCH	Finding Excellence at The Christ Hospital
FFA	Fundus Fluorescein Angiography
FFAIL	Fridge failure
FFFF	Freedom From Fear Forever
FFHA	Foundation for Hospital Art (Roswell, GA)
FFHI	Family Friendly Hospitals Initiative
FFI	Fatal familial insomnia
FFP	Fresh Frozen Plasma
FFP	Fat Flush Plan
FFR	Filtering Facepiece Respirator
FGH	Fairmont General Hospital
FGH	Fitzsimmons General Hospital
FGH	Furness General Hospital
FGH	Forrest General Hospital
FGH	Franklin General Hospital
FGHI	Fairmont General Hospital Inc
FH	Field Hospital
FHA	Florida Hospital Association
FHCA	Florida Hospital Care Advantage
FHCHS	Florida Hospital College of Health Sciences
FHCI	Florida Hospital Cancer Institutes
FHCU	Florida Hospital Credit Union
FHFMA	Fellow of Healthcare Management Association
FHFMA	Fellow of the Healthcare Financial Management Association
FHG	First Hospitality Group
FHM	Fellow in Hospital Medicine
FHRWW	Fleming-Harrington Redistribution Wash-in Washout
FHS	Family Heart Study
FHS	Family History Score
FHS	Fetal Heart Sound
FHS	Functional Health Status
FHSA	Foster Hospital for Small Animals
FHSL	Fairbanks Hospital Supportive Living
FHT	Frasers Hospitality Trust
FHT	Faculty of Hospitality and Tourism
FHX	Family History
FHZ	Florida Hospital Zephyrhills
FI	Fluid Injection
FIAC	Federation of Independent Advice Centres
FIM	Functional Independence Measure
FIMG	Facilities Installation Monitoring Group
FIMI	Fetal and Infant Mortality Information
FIMR	Fetal and Infant Mortality Review
FIMR	Fetal, Infant, Maternal, and Reproductive Health
FIMS	Fiber Introduction Mass Spectrometry
FIRE	Feed Intake Recording Equipment
FISC	Family Interaction Skills Clinic
FISH	Fluorescent in situ hybridization
FISHES	Friendship Integrity Sharing Hospitality Enthusiasm And Service
FIT	Frequency, Intensity, and Time
FIT	Fellow-in-training
FITT	Functional Interdisciplinary Transdisciplinary Therapy
FJCUH	Fu Jen Catholic University Hospital
FLACC	Face, Legs, Activity, Cry, Consolability
FLAIR	Fluid attenuation inversion recovery
FLP	Fasting Lipid Profile
FMA	Focal muscular atrophies
FMC	Family Medicine Center
FMC	Flight Medicine Clinic
FMCH	Fort Madison Community Hospital
FMD	Fibromuscular dysplasia
FMH	Franklin Memorial Hospital
FMH	Frederick Memorial Hospital
FMH	Fairfield Memorial Hospital
FMH	Fairbanks Memorial Hospital
FMHX	Family History
FML	Fluorometholone
FMLA	Family and Medical Leave Act of 1993
FMS	Fibromyalgia syndrome
FMX	Full Mouth X-ray
FNABC	Fine Needle Aspiration Biopsy Cytology
FNP	Family Nurse Practitioner
FNPHY	Federal Neuro Psychiatric Hospital Yaba
FOB	Faecal Occult Blood
FOB	Father Of Baby
FOBT	Fecal Occult Blood Test
FOH	Fellowship Of Healers
FOH	Federal Occupational Health
FOHH	Friends of Harlem Hospital
FOL	Fibre Optic Laryngoscopy
FOS	Full Order Scan
FOUO	For Official Use Only
FPAH	Family Pet Animal Hospital
FPH	Fountain Pen Hospital
FPH	Forensic Psychiatric Hospital
FPHC	Faculty of Pre Hospital Care
FPHM	Focused Practice in Hospital Medicine
FPLC	Fast Protein Liquid Chromatography
FPM	Family Practice Medicine
FQHC	Federally Qualified Health Center
FREIDA	Fellowship and Residency Electronic Interactive Database Access
FRH	Franklin Regional Hospital
FROG	Fresh Reservoir Oxy Generator
FRX	Bone Fracture
FS	Fully Sick
FSAB	Forensic Specialities Accreditation Board
FSAB	Forensic Specialties Accreditation Board
FSAT	Family Sexual Abuse Treatment
FSD	Focus Skin Distance
FSH	Fiona Stanley Hospital
FSH	Franklin Square Hospital
FSP	Familial spastic paraparesis
FT	Family Therapy
FT	Full Term
FT	Function Test
FT MIST	Fiat Mistera
FTAH	Ft Thomas Animal Hospital
FTD	Frontotemporal dementia
FTE	Full Time Equivalent
FTM	Fractional Test Meal
FTMC	Fisher-Titus Medical Center
FTP	Failure To Progress
FU	Fever of Unknown origin
FU	Farmacopeia Ufficiale
FUE	Follicle Unit Extraction
FUE	Follicular Unit Extraction
FUO	Fever of Unknown Origin
FURS	Flexible Ureterorenoscopy
FUTU	Foot Ulcer Trials Unit
FVH	Fischer Veterinary Hospital
FVH	Fairview Veterinary Hospital
FVH	Floyd Valley Hospital
FVRH	Forth Valley Royal Hospital
FVS	Fetal valproate syndrome
FWB	Full weight-bearing
FWBAT	Full Weight Bearing As Tolerated
FWH	Florida Wildlife Hospital
Fx	Fracture
FXS	Fragile X syndrome
FY2	Foundation Year 2
FYIP	First Year Internship Program
G	Geriatric
G & A	Gloves and Apron
G-TUBE	Gastrostomy Tube (feeding tube)
GA	General Anesthesia
GAAH	Governors Avenue Animal Hospital
GAF	Global Assessment Functioning
GAMP	General Anaesthetic, Manipulation, and Plaster
GAN	Giant axonal neuropathy
GAPP	Guidelines for Assessing Post-natal Problems
GAS	Group A Streptococcal disease
GAU	Gynaecology Assessment Unit
GAVE	Gastric antral vascular ectasia
GBGH	Georgian Bay General Hospital (Canada)
GBHC	Greater Binghamton Health Center
GBPH	Govind Ballabh Pant Hospital
GBPH	Gobind Ballabh Pant Hospital
GBRx	Post-Gastric Bypass Reconstruction
GBS	Guillain–Barré syndrome
GBS	Group B Streptococcal disease
GBTH	Georgian Bay Turtle Hospital
GCCH	Garden City Cat Hospital
GCE	Glycine encephalopathy
GCEH	Gandhi Centenary Eye hospital
GCH	Garden City Hospital
GCH	Guthrie County Hospital
GCP	Good Clinical Practice
GCP	Good Clinical Practices
GCS	Glasgow Coma Score
GCS	Glasgow Coma Scale
GCT	Glucose Challenge Test
GD	Gestational diabetes
GDC	Guglielmi Detachable Coil
GDD	Global developmental delay
GDMC	Gastrointestinal Diagnostic Mobility Center
GDS	General Dental Service
GEH	George Eliot Hospital
GEHA	Government Employees Hospital Association
GEMB	Geriatric Evaluation and Management Beds
GERD	Gastro-Esophogeal Reflux Disease
GERD	Gastroesophageal reflux disease
GERQ	Gastro Esophageal Reflux Questionnaire
GESKES	Gesellschaft fuer klinische Ernaehrung in der Schweiz
GFH	Glens Falls Hospital
GFRA 	Glomerular Filtration Rate
GGCP	Guideline for Good Clinical Practice
GGH	Government General Hospital
GGH	Guelph General Hospital
GGSH	Guru Gobind Singh Hospital
GH	General Hospital
GHA	Georgia Hospital Association
GHAT	Grampian Hospitals Art Trust
GHC	Group Health Cooperative
GHH	General Hospital Happenings
GHMC	Grove Hill Medical Center
GHRC	Global Hospital and Research Centre
GHTS	General Hospital Theme Song
GI	Gastro-Intestinal
GI	Gastrointestinal
GIB	Gastrointestinal bleeding
GIMM	Gastro-Intestinal Motility Monitor
GJMHRC	Godawri Jiwachh Memorial Hospital and Research Centre
GKH	Greater Kailash Hospital
GKI	Glucose Potassium Insulin Regimen
GKI	Glucose Potassium Insulin
GLA	Great Lakes Alliance
GLH	Greenwood Leflore Hospital
GLOL	Gorgeous Labor Of Love
GLOS	Geometric Mean Length of Stay
GMC	Gold Medical Card
GMC	General Medical Council
GMC	Geographic Managed Care
GMC	General Medical Condition
GMCH	Government Medical College and Hospital
GMCH	Groves Memorial Community Hospital
GMCH	Gauhati Medical College and Hospital
GMIP	Genuine Memory Impairment Profile
GMO	Gastric Medical Operation
GMP	General Medical Practice
GMS	General Medical Services
GMSC	General Medical Services Committee
GN	Glossopharyngeal neuralgia
GNH	Grey Nuns Hospital
GNID	Gram-negative intracellular diplococci
GOMER	Get Out Of My Emergency Room
GOPD	General OutPatient Department
GOPD	Gynaecology OutPatient Department
GOSH	Great Ormond Street Hospital
GOSH	Great Ormand Street Hospital
GOSH	Great Ormond St Hospital
GP	General Practitioner
GPA	Group Practice Analyzer
GPCH	Golden Plains Community Hospital
GPHC	Georgetown Public Hospital Corporation
GPHI	General Practice Hospital Integration
GPMSS	General Practice Minimum System Specification
GPN	Group Provider Number
GPS	General Pharmaceutical Services
GPS	General Practice Strategy
GR	Grand Rounds
GRAS	Generally Recommended As Standard
GRE	Glycopeptide Resistant Enterococcus
GREM	Grand Rounds in Environmental Medicine
GRG	Gerontology Research Group
GRH	Grande Ronde Hospital
GRHF	Grand River Hospital Foundation
GRIM	General Record Of Incidence Of Mortality
GRS	Gender Reassignment Surgery
GS	General Surgery
GSH	Good Samaritan Hospital
GSOD	General Surgical Outcomes Quality Improvement Database
GSR	Galvanic Skin Response
GSS	Gerstmann–Sträussler–Scheinker disease
GST	General Supportive Therapy
GSW	GunShot Wound
GSWH	Good Samaritan Waverly Hospital
GT/LD	Gifted and learning disabled
GTBH	Guru Teg Bahadur Hospital
GTBH	Guru Tegh Bahadur Hospital
GTC	Gas Treatment Centre
GTSH	Government Tribal Specialty Hospital
GTSH	Government Tribal Speciality Hospital
GU	Geriatric Unit
GUH	Galway University Hospitals group
GUH	Georgetown University Hospital
GUHT	Grampian Universities Hospital Trust
GUSTO	Global Use of Strategies To Open Occluded Coronary Arteries
GVEH	Goulburn Valley Equine Hospital
GVHF	Greater Victoria Hospitals Foundation
GWBH	Greenmount Wild Bird Hospital
GWCI	George Washington Medical Center Cancer Institute
GWD	Guinea worm disease
GWH	Great Western Hospital
GWI	Gulf War illnesses
GWS	Gulf War syndrome
GWTG	Get With The Guidelines
GWTG-CAD	Get With The Guidelines - Coronary Artery Disease
GWTG-HF	Get With The Guidelines - Heart Failure
GWTG-S	Get With The Guidelines - Stroke
GWTH	Growth
GYN	Gynocologist
H	Hypodermic
H	Hospitalization
H&H	Hemoglobolin and Hematocrit
H&N	Head and Neck
HA	Hospital Accreditation
HA	Helicopter Ambulance
HA	HaemAgglutination
HAA	Health Action Area
HAA	Hospital Activity Analysis
HAART	Highly active antiretroviral therapy
HAC	HydroxyApatite Cement
HAC	Hospital-Acquired Condition
HAC	Hospital Acquired Condition
HAC	Hospital Acquired Conditions
HAD	Hospital Anxiety and Depression
HADS	Hospital Anxiety and Depression Scale
HADS	Hospital Anxiety Depression Scales
HADS	Hospital Anxiety and Depression scales
HADS	Hospital Anxiety and Depression Score
HAF	Hospital Assessment Fee
HAG	HAZMAT Action Guide
HAHO	Hospital Authority Head Office
HAHT	Hospital At Home Team
HAI	Histology Activity Index (Knodell Score)
HAI	Hospital-Acquired Infection
HAI	Hospital Acquired Infections
HAM	Hospital And Morgue
HAM	Health, Action, and Mind
HAMS	Hospital Aseptic Management System
HAMU	Homerton Ambulatory Medicine Unit
HANJ	Hospital Alliance of New Jersey
HAP	Hospital Association of Pennsylvania
HAP	Hospital Accreditation Program
HAP	Hospital Accreditation Programme
HAP	Hospital-acquired pneumonia
HAP	Hospital Acquired Pneumonia
HAPG	Hospital and Ambulatory Policy Group
HAPPI	Hospital Antibiotic Prudent Prescribing Indicators
HAPU	Hospital Asociated Pressure Ulcers
HAPU	Hospital Acquired Pressure Ulcers
HARA	Hospital Accounts Receivable Analysis
HARC	Hospital Alliance for Research Collaboration
HARI	Hospital Association of Rhode Island
HARP	Healing Arts Radiation Protection
HARP	Health And Recovery Peer program
HAS	Holmes–Adie syndrome
HASU	Hyper Acute Stroke Unit
HAT	Hypoxanthine-aminopterin-thymidine medium
HAVBED	Hospital Available Beds for Emergencies and Disasters
HB	HeartBeat
HBCR	Hospital Based Cancer Registries
HBCR	Hospital Based Cancer Registry
HBCS	Hospital Billing Collection Service
HBE	Hospital Builder Extraordinaire
HBM	Health Belief Model
HBN	Hospital Building Notes
HBO	HyperBaric Oxygen
HBOC	HyperBaric Oxygen Chamber
HBOD	Headspace Biochemical Oxygen Demand
HBOT	HyberBaric Oxygen Therapy
HBP	Hospital Based Physician
HBS	HeartBeat Sensor
HBSB	Hospital Building Safety Board
HBSB	Hospital Besar Sulatanah Bahiyah
HBSC	Hospital Based Sub-Specialty Clinic
HBSC	Hospitality Beverage Specialist Certificate
HBSI	Hospital Business Services Inc
HBU	Hospital Back Up
HC	Hyaline Cast
